recording id,timestamp,Seconds after dusk,Seconds before dawn
177992,2018-09-30T16:57:00.000Z,,-1799
209217,2018-12-11T08:52:00.000Z,3000,
167919,2018-08-23T17:24:00.000Z,,-3599
276836,2019-04-09T06:50:00.000Z,1200,
167479,2018-08-19T11:15:02.000Z,18002,
210777,2018-12-15T08:45:00.000Z,2400,
164117,2018-07-15T05:57:00.000Z,600,
171731,2018-09-11T14:34:03.000Z,,-12116
318051,2019-06-09T18:41:00.000Z,,-1199
192028,2018-11-02T12:23:03.000Z,,-15476
308427,2019-05-24T06:11:00.000Z,1800,
223137,2019-01-06T15:56:00.000Z,,-2399
176343,2018-09-22T16:59:00.000Z,,-2399
163333,2018-07-06T17:41:04.000Z,,-5035
213173,2018-12-19T08:38:00.000Z,1800,
225216,2019-01-10T14:13:04.000Z,,-8815
310483,2019-05-27T14:39:04.000Z,,-15235
167877,2018-08-23T06:38:00.000Z,1200,
276127,2019-04-07T12:33:04.000Z,,-20155
171450,2018-09-10T07:03:00.000Z,1800,
208491,2018-12-09T15:01:01.000Z,,-4798
163408,2018-07-07T12:42:01.000Z,,-22978
318649,2019-06-10T18:11:00.000Z,,-2999
162702,2018-06-30T16:38:03.000Z,,-8876
296756,2019-05-04T10:58:03.000Z,18003,
162214,2018-06-23T18:56:00.000Z,,-599
189373,2018-10-27T07:26:00.000Z,600,
193046,2018-11-06T15:57:00.000Z,,-2399
164594,2018-07-20T15:50:04.000Z,,-11335
196038,2018-11-14T12:36:03.000Z,,-14036
243393,2019-02-06T10:57:00.000Z,10800,
276128,2019-04-07T13:33:04.000Z,,-16555
267308,2019-03-21T14:59:06.000Z,,-10493
216317,2018-12-25T10:11:00.000Z,7200,
267796,2019-03-22T17:35:00.000Z,,-1199
166599,2018-08-09T10:07:01.000Z,14401,
178393,2018-10-01T16:55:00.000Z,,-1799
246242,2019-02-11T17:05:00.000Z,,-599
321221,2019-06-15T13:35:02.000Z,,-19677
254354,2019-02-25T12:34:01.000Z,,-17758
183432,2018-10-11T16:40:00.000Z,,-1799
177448,2018-09-28T07:29:00.000Z,2400,
223921,2019-01-08T13:13:03.000Z,,-12296
162789,2018-07-01T18:46:00.000Z,,-1199
238498,2019-01-30T12:03:03.000Z,,-17936
260360,2019-03-08T10:18:01.000Z,10801,
164803,2018-07-22T18:48:00.000Z,,-599
266301,2019-03-19T10:02:01.000Z,10801,
162905,2018-07-02T17:39:07.000Z,,-5212
282849,2019-04-22T11:12:00.000Z,18000,
187761,2018-10-23T12:12:04.000Z,,-16855
300518,2019-05-10T06:02:00.000Z,600,
211870,2018-12-17T08:27:00.000Z,1200,
